,,,Apr-14,,,,,,,,,,,,,,Apr-14,,,,,,,,,,,,,,Apr-14,,,,,,,,,,,
333,"BUCAY, ABRA",CAR,0,0,0,0,0,0,0,0,0,0,0,333,"BUCAY, ABRA",CAR,53,0,0,0,0,215.6,0,0,0,0,268.6,333,"BUCAY, ABRA",CAR,0,0,0.4,0,3.6,3.2,0,0,0,0,7.2,275.8
1080,"SABLAYAN, OCCIDENTAL MINDORO",4-B,0,0,0,0,2,0.2,0,0,0,0,2.2,1080,"SABLAYAN, OCCIDENTAL MINDORO",4-B,0.2,0.2,0,0,8.6,0.2,,,,,9.2,1080,"SABLAYAN, OCCIDENTAL MINDORO",4-B,,,,,,,,,,,,11.4
365,"BANAYBANAY, DAVAO ORIENTAL",11,0,0,0,7.6,0,0,0,0,0,0,7.6,365,"BANAYBANAY, DAVAO ORIENTAL",11,1.8,0,0.8,13,0,0,0,0.4,0,0.2,16.2,365,"BANAYBANAY, DAVAO ORIENTAL",11,0,4,0,0,0,0,0,0,0,0,4,27.8
867,"DANGCAGAN, BUKIDNON",10,0,0,0,0.8,0.2,0,0,0,11.6,0,12.6,867,"DANGCAGAN, BUKIDNON",10,0,7.6,0,1.8,0.4,0.6,7,5.2,1.6,0.2,24.4,867,"DANGCAGAN, BUKIDNON",10,48.6,1.8,1.6,0.6,0,0,0,103.2,0,0,155.8,192.8
319,"NAIC CAMPUS, CAVITE",4-A,,,0,0,0,0,0,0,0,0,0,319,"NAIC CAMPUS, CAVITE",4-A,0,0,0,0,0,0,0,0,0,0,0,319,"NAIC CAMPUS, CAVITE",4-A,0,0,0,0,74.4,2.2,0,0,26,2.2,104.8,104.8
502,"BAGABAG, NUEVA VIZCAYA",2,0,0,0,8.8,0,0,0,1.8,70,0,80.6,502,"BAGABAG, NUEVA VIZCAYA",2,2,0.2,0,0,0,0,0,0,0,0,2.2,502,"BAGABAG, NUEVA VIZCAYA",2,0,0,0,0,0,0,5.8,2.8,7.6,1,17.2,100
920,"GUIMBA, NUEVA ECIJA",3,,,,,,,,,,,,920,"GUIMBA, NUEVA ECIJA",3,,,,,,,,,,,,920,"GUIMBA, NUEVA ECIJA",3,,,,,,,,,,,,
381,"ARAKAN, COTABATO",12,,,,,,,,,,,,381,"ARAKAN, COTABATO",12,,,,,,,,,,,,381,"ARAKAN, COTABATO",12,,,,,,0,0,0,0.2,0.2,0.4,0.4
341,"STA. MARIA - ILOCOS SUR, ILOCOS SUR",1,0,0,0,0,0,0,0,0,0,0,0,341,"STA. MARIA - ILOCOS SUR, ILOCOS SUR",1,0,0,0,0,0,0,0,0,0,0,0,341,"STA. MARIA - ILOCOS SUR, ILOCOS SUR",1,0,0,0,0,0,0,0,0,0,0,0,0
897,"ABUYUG, LEYTE",8,0,11.2,28.2,2.4,6.6,0.2,1,0.2,4.4,4,58.2,897,"ABUYUG, LEYTE",8,13.8,2.8,5.8,10.2,170.6,0.6,3.8,0,0,10.8,218.4,897,"ABUYUG, LEYTE",8,0.2,8.8,2.2,0.2,0.2,1,0,24,4.2,0,40.8,317.4
