,,,April 2016,,,,,,,,,,,,,,April 2016,,,,,,,,,,,,,,April 2016,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
917,"CALINOG, ILOILO",6,,,,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,917,"CALINOG, ILOILO","6",0.0,0.0,25.8,4.8,1.4,0.0,0.0,0.0,0.0,0.0,32,917,"CALINOG, ILOILO","6",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,23.0,0.0,24,56.8
1128,"ALCANTARA, ROMBLON",4-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1128,"ALCANTARA, ROMBLON","4-B",0.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,1128,"ALCANTARA, ROMBLON","4-B",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,7.2
503,"AGLIPAY, QUIRINO",2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,503,"AGLIPAY, QUIRINO","2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,503,"AGLIPAY, QUIRINO","2",0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1
1324,"VILLAREAL, SAMAR",8,,,,,,,,,,,,1324,"VILLAREAL, SAMAR","8",,,,,,,,,,,,1324,"VILLAREAL, SAMAR","8",,,,,,,,,,,,
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,0.6,0.2,2.2,0.2,4.2,0.0,,,,,7.4,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",,,,,,,,,,,,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",,,,,,,,,,,,7.4
626,"KIAMBA, SARANGANI",12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,24.8,31,626,"KIAMBA, SARANGANI","12",16.6,0.0,6.8,1.8,1.8,32.2,0.0,1.0,14.6,12.0,86.8,626,"KIAMBA, SARANGANI","12",1.0,50.4,1.6,3.2,4.4,62.0,2.2,0.0,5.6,8.8,139.2,257
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,,,,,,0.0,0.6,0.0,0.6,6.0,7.2,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",0.4,7.4,0.2,0.0,0.0,0.0,0.0,2.2,0.0,2.2,12.4,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.8,3,22.6
351,"CARMEN, BOHOL",7,,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,,,,,,,,,,,,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",,,,,,,,,,,,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",,,,,,,,,,,,
328,"AYUTI, QUEZON",4-A,,,,,,,,,,,,328,"AYUTI, QUEZON","4-A",,,,,,,,,,,,328,"AYUTI, QUEZON","4-A",,,,,,,,,,,,
865,"ILAGAN, ISABELA",2,,,,,,,,,,,,865,"ILAGAN, ISABELA","2",,,,,,,,,,,,865,"ILAGAN, ISABELA","2",,,,,,,,,,,,
934,"KAPATAGAN, LANAO DEL SUR",ARMM,,,,,,,,,,,,934,"KAPATAGAN, LANAO DEL SUR","ARMM",,,,,,,,,,,,934,"KAPATAGAN, LANAO DEL SUR","ARMM",,,,,,,,,,,,
